LED,Transformer
1,P5010422
2,H5487Y
3,4650396E
4,905160E
5,P5377087
6,4019014E
7,749048E
8,947379E
9,4759974E
10,1668867E
11,1377920E
12,H8269Y
13,H8268Y
14,947377E
15,890526E
16,947372E
17,4741224E
18,4469243E
19,714369E
20,714367E
21,1922398E
22,999374E
23,905648E
24,B5057756
25,B5325087
26,H5094Y
27,H5092Y
28,1048094E
29,1527090E
30,1957101E
31,4407240E
32,1619614E
33,947375E
34,720838E
35,1354400E
36,1354552E
37,1354554E
38,1354555E
39,1354557E
40,1377919E
41,905794E
42,905796E
43,1891945E
44,1071760E
45,1071761E
46,B5409515
47,B5409514
48,B5409513
49,B5409521
50,B5409519
51,B5409517
52,B5409518
53,B5132269
54,1240165E
55,B5131867
56,B5147702
57,B5147701
58,B5131868
59,1257599E
60,1257657E
61,H9422Y
62,H7469Y
63,1205341E
64,1205344E
65,1205346E
66,1205551E
67,1205334E
68,1205336E
69,1205338E
70,H8352Y
71,1240172E
72,1240174E
73,1240179E
74,1240181E
75,1240192E
76,1240194E
77,4736234E
78,1257587E
79,1257590E
80,1257592E
81,1240199E
82,1240408E
83,1240405E
84,1240402E
85,1240182E
86,1240177E
87,1240170E
88,1273966E
89,1205559E
90,1354431E
91,1354429E
92,4430002E
93,1138085E
94,1138086E
95,1138089E
96,1205236E
97,1205238E
98,1205240E
99,1240157E
100,1240159E
101,1240161E
102,1240162E
103,B5158710
104,B5158708
105,B5158705
106,B5158702
107,B5132103
108,B5132104
109,B5132105
110,4430024E
111,4430023E
112,1205229E
113,1138073E
114,1138074E
115,1138077E
116,1138079E
117,788212E
118,788214E
119,788215E
120,788218E
121,905167E
122,1339447E
123,H8342Y
124,H8345Y
125,P5009285
126,1566541E
127,P5009284
128,P5009279
129,1566544E
130,1566542E
131,H9481Y
132,H8348Y
133,1376995E
134,H9493Y
135,1376992E
136,B5151905
137,B5151904
138,B5151903
139,1533395E
140,1533398E
141,B5601521
142,B5158707
143,B5158704
144,B5158703
145,B5158706
146,B5158709
147,B5158711
148,B5158712
149,1566549E
150,1533390E
151,1533392E
152,H9486Y
153,H9489Y
154,1533388E
155,1533393E
